ham,Are you saying that women don't post?
ham,Other posts keep coming up
ham,"And in Earth Science class, the student in front of me was always walking around with a cigarette."
ham,"When you're done, it's 11 o'clock for you."
ham,"No, it really pisses me off that you uploaded something you weren't supposed to"
ham,"You, send me one selfie from today."
ham,I will put one of my applications in the liberal arts department of Kyunghee University.
ham,"If you can do 10th grade phonetics, it's really possible."
ham,Ramen appears in real-time night self-study dinner
ham,"Seriously, when I go out, a cafe opens up"
ham,Some guys keep saying that they got caught and are going to turn themselves in.
ham,I went to the hospital because I had a bad headache while working out.
ham,"While I was looking at my comic book, I was cringing"
ham,"For reference, even if you just look at it with your own eyes,"
ham,But is it true that baseball originally has this many runs scored?
ham,"Oh, I need a presentation video in front of the whole school"
ham,"Sim Hyeon-yong suddenly started imitating GTA characters, so we imitated him too."
ham,Then I almost fell down to the parking lot of Sim Hyeon-yong
ham,"I was trying to climb up the wall, but I almost fell because the parking lot entrance was below."
ham,I'm just going to go to college and double major.
ham,"
The actual presentation time was 35 minutes"
ham,Because I ask questions every time something strange comes up
ham,Lightning strikes and the cat suddenly goes crazy
ham,I just eat alone because I feel more comfortable being alone.
ham,But I think dinner got tastier in the second semester
ham,Because I don't have any friends
ham,I didn't know the value of coeducational schools
ham,All the kids dropped out before they were expelled
ham,I didn't want to waste even a month at a boys' high school.
ham,I miss Vietnam
ham,You were thinking of Midtown too.
ham,But why are you guys talking about Incheon?
ham,"When I go to Korea, my scope of action is within a 1km radius in the countryside."
ham,I have to go to Korea after finishing the 12th grade entrance exam.
ham,"The reunion will be in Korea either, though"
ham,"
I changed my phone in August last year and all my conversations disappeared."
ham,I have no experience in Korea at all.
ham,"You really don't know, but it just annoys me"
ham,I need to file a petition to separate Kis boys and girls
ham,Do you guys go back and forth between school festivals?
ham,"If you want to see a girl, why don't you just watch it on TV?"
