label,message
ham,Jus finish bathing...
ham,I dont want to hear philosophy. Just say what happen
ham,Oh did you charge camera
ham,"They can try! They can get lost, in fact. Tee hee"
ham,Cuz ibored. And don wanna study
ham,Where's mummy's boy ? Is he being good or bad ? Is he being positive or negative ? Why is mummy being made to wait? Hmmmm?
ham,WHITE FUDGE OREOS ARE IN STORES
ham,"How about clothes, jewelry, and trips?"
ham,Try to do something dear. You read something for exams
ham,Get ready for  &lt;#&gt;  inches of pleasure...
ham,"Sir, i am waiting for your call, once free please call me."
ham,Well welp is sort of a semiobscure internet thing
ham,Hey come online! Use msn... We are all there
ham,Its a part of checking IQ
ham,I love u 2 my little pocy bell I am sorry but I love u
ham,When are you guys leaving?
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
ham,WHO ARE YOU SEEING?
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,Webpage s not available!
ham,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.
ham,"I think your mentor is , but not 100 percent sure."
ham,Oh wow thats gay. Will firmware update help
ham,Whos this am in class:-)
ham,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;
ham,Wife.how she knew the time of murder exactly
ham,Two teams waiting for some players
ham,No no. I will check all rooms befor activities
ham,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?
ham,Very hurting n meaningful lines ever: \I compromised everything for my love
ham,Do have a nice day today. I love you so dearly.
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,"Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think."
ham,Oh yah... We never cancel leh... Haha
ham,Guessin you ain't gonna be here before 9?
ham,Good morning princess! Have a great day!
ham,"Haha, that was the first person I was gonna ask"
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
ham,Also hi wesley how've you been
ham,You best watch what you say cause I get drunk as a motherfucker
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.
ham,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
ham,Watching telugu movie..wat abt u?
ham,Thank you baby! I cant wait to taste the real thing...
ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
ham,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?"
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent."
ham,Yar... I tot u knew dis would happen long ago already.
ham,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
ham,I realise you are a busy guy and i'm trying not to be a bother. I have to get some exams outta the way and then try the cars. Do have a gr8 day
ham,Bring it if you got it
ham,I know she called me
ham,"Dizzamn, aight I'll ask my suitemates when I get back"
ham,K:)k:)good:)study well.
ham,I cant pick the phone right now. Pls send a message
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend."
ham,"Sorry, I'll call later  &lt;#&gt; mins"
ham,Doing project w frens lor.
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical"
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THAT??S AL!!!!!!!!!
ham,Ok... U enjoy ur shows...
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
ham,Minimum walk is 3miles a day.
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
ham,"Yo, the game almost over? Want to go to walmart soon"
ham,"Bill, as in: Are there any letters for me. i??見m expecting one from orange that isn??見t a bill but may still say orange on it."
ham,I dont know oh. Hopefully this month.
ham,"Sorry, I'll call later"
ham,Mum not going robinson already.
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
ham,Just sleeping..and surfing
ham,Try neva mate!!
ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
ham,Dear good morning how you feeling dear
ham,What's ur pin?
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,Thanks love. But am i doing torch or bold.
ham,See? I thought it all through
ham,Finish liao... U?
ham,K:)k:)what are detail you want to transfer?acc no enough?
ham,PS U no ur a grown up now right?
ham,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.
ham,Miss call miss call khelate kintu opponenter miss call dhorte lage. Thats d rule. One with great phone receiving quality wins.
ham,Happy birthday... May all ur dreams come true...
ham,So do you have samus shoulders yet
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!
ham,Jus came back fr lunch wif my sis only. U leh?
ham,One small prestige problem now.
ham,"Aight, let me know when you're gonna be around usf"
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,"Usf I guess, might as well take 1 car"
ham,Haf u found him? I feel so stupid da v cam was working.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Wot is u up 2 then bitch?
ham,We can go 4 e normal pilates after our intro...
ham,K. I will sent it again
ham,:)
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,No..few hours before.went to hair cut .
ham,Wat r u doing now?
ham,Loosu go to hospital. De dont let it careless.
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?
ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ?_ not interested.
ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
ham,Ok that's great thanx a lot.
ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
ham,Jus ans me lar. U'll noe later.
ham,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
ham,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
ham,Tell them u have a headache and just want to use 1 hour of sick time.
ham,\Hey j! r u feeling any better
ham,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..
ham,Dear we got  &lt;#&gt;  dollars hi hi
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
ham,Ok set let u noe e details later...
ham,I cant pick the phone right now. Pls send a message
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,Huh means computational science... Y they like dat one push here n there...
ham,Good Morning plz call me sir
ham,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.
ham,Now am free call me pa.
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.
ham,I just really need shit before tomorrow and I know you won't be awake before like 6
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :)
ham,The evo. I just had to download flash. Jealous?
ham,?? ready then call me...
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
ham,"Okay, good, no problem, and thanx!"
ham,"Jus chillaxin, what up"
ham,Don know..he is watching film in computer..
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
ham,Ok... Let u noe when i leave my house.
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
ham,Also maaaan are you missing out
ham,Theyre doing it to lots of places. Only hospitals and medical places are safe.
ham,Yup n her fren lor. I'm meeting my fren at 730.
ham,Wow didn't think it was that common. I take it all back ur not a freak! Unless u chop it off:-)
ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
ham,"Just sent you an email ??? to an address with incomm in it, is that right?"
ham,I know complain num only..bettr directly go to bsnl offc nd apply for it..
ham,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
ham,"Come to mu, we're sorting out our narcotics situation"
ham,I cant pick the phone right now. Pls send a message
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Thank you. I like you as well...
ham,Have you started in skye
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,Is that seriously how you spell his name?
ham,"The LAY MAN! Just to let you know you are missed and thought off. Do have a great day. And if you can send me bimbo and ugo's numbers, ill appreciate. Safe"
ham,Wif my family booking tour package.
ham,We confirm eating at esplanade?
ham,"If e timing can, then i go w u lor..."
ham,"I got arrested for possession at, I shit you not,  &lt;TIME&gt;  pm"
ham,No one interested. May be some business plan.
ham,"that would be good ??_ I'll phone you tomo lunchtime, shall I, to organise something?"
ham,"Erm ??_ ill pick you up at about 6.45pm. That'll give enough time to get there, park and that."
ham,"I can't, I don't have her number!"
ham,How would my ip address test that considering my computer isn't a minecraft server
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
ham,How many times i told in the stage all use to laugh. You not listen aha.
ham,I will see in half an hour
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.
ham,After completed degree. There is no use in joining finance.
ham,Yup... Ok i go home look at the timings then i msg ?_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Merry christmas to u too annie!
ham,I'm at bruce &amp; fowler now but I'm in my mom's car so I can't park (long story)
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
ham,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
ham,No pic. Please re-send.
ham,Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
ham,In that case I guess I'll see you at campus lodge
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
ham,Ok going to sleep. Hope i can meet her.
ham,Gokila is talking with you aha:)
ham,When ?_ login dat time... Dad fetching ?_ home now?
ham,Lol its ok I didn't remember til last nite
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
ham,"I don't think I can get away for a trek that long with family in town, sorry"
ham,Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)
ham,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself"
ham,Mm not entirely sure i understood that text but hey. Ho. Which weekend?
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
ham,Yes i will be there. Glad you made it.
ham,Surly ill give it to you:-) while coming to review.
ham,S but mostly not like that.
ham,"I wake up long ago already... Dunno, what other thing?"
ham,You said not now. No problem. When you can. Let me know.
ham,"Ok, be careful ! Don't text and drive !"
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5"
ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
ham,Please dont say like that. Hi hi hi
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,"Im in inperialmusic listening2the weirdest track ever by??leafcutter john??-sounds like insects being molested&someone plumbing,remixed by evil men on acid!"
ham,Yup next stop.
ham,Dunno y u ask me.
ham,Lol they were mad at first but then they woke up and gave in.
ham,Most of the tiime when i don't let you hug me it's so i don't break into tears.
ham,Great. Have a safe trip. Dont panic surrender all.
ham,Then any special there?
ham,?? neva tell me how i noe... I'm not at home in da aft wat...
ham,But i juz remembered i gotta bathe my dog today..
ham,Daddy will take good care of you :)
ham,No shoot me. I'm in the docs waiting room. :/
ham,"Dear, will call Tmorrow.pls accomodate."
ham,My uncles in Atlanta. Wish you guys a great semester.
ham,Bring home some Wendy =D
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs
ham,"sorry, no, have got few things to do. may be in pub later."
ham,That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.
ham,If I get there before you after your ten billion calls and texts so help me god
ham,2 and half years i missed your friendship:-)
ham,I love you both too :-)
ham,What is important is that you prevent dehydration by giving her enough fluids
ham,"I dont knw pa, i just drink milk.."
ham,Huh so early.. Then ?_ having dinner outside izzit?
ham,Hey you around? I've got enough for a half + the ten I owe you
ham,"What's up bruv, hope you had a great break. Do have a rewarding semester."
ham,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-)
ham,Lol wtf random. Btw is that your lunch break
ham,"\Response\"" is one of d powerful weapon 2 occupy a place in others 'HEART'... So"
ham,And now electricity just went out fml.
ham,"Hurry up, I've been weed-deficient for like three days"
ham,At 7 we will go ok na.
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,"It's wylie, you in tampa or sarasota?"
ham,You know what hook up means right?
ham,Simply sitting and watching match in office..
ham,I am in bus on the way to calicut
ham,"That's good, because I need drugs"
ham,Then we gotta do it after that
ham,WOT U UP 2 J?
ham,So u gonna get deus ex?
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,"When you just put in the + sign, choose my number and the pin will show. Right?"
ham,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend."
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,"Just dropped em off, omw back now"
ham,"I am real, baby! I want to bring out your inner tigress..."
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
ham,"Aight, we'll head out in a few"
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Those were my exact intentions
ham,S.this will increase the chance of winning.
ham,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...
ham,Where r we meeting?
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""
ham,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..
ham,You also didnt get na hi hi hi hi hi
ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?
ham,Pls pls find out from aunt nike.
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,"Idk. You keep saying that you're not, but since he moved, we keep butting heads over freedom vs. responsibility. And i'm tired. I have so much other shit to deal with that i'm barely keeping myself together once this gets added to it."
ham,&lt;#&gt;  in mca. But not conform.
ham,"Sorry, I'll call later"
ham,I accidentally brought em home in the box
ham," came to look at the flat, seems ok, in his 50s? * Is away alot wiv work. Got woman coming at 6.30 too."
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,Some of them told accenture is not confirm. Is it true.
ham,That's good. Lets thank God. Please complete the drug. Have lots of water. And have a beautiful day.
ham,I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that.
ham,I am late. I will be there at
ham,Arun can u transfr me d amt
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,Dude we should go sup again
ham,Later i guess. I needa do mcat study too.
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,"Aight, you close by or still down around alex's place?"
ham,Okie... Thanx...
ham,Lol I was gonna last month. I cashed some in but I left &lt;#&gt; just in case. I was collecting more during the week cause they announced it on the blog.
ham,So how are you really. What are you up to. How's the masters. And so on.
ham,Lil fever:) now fine:)
ham,When you guys planning on coming over?
ham,"Yup. Anything lor, if u dun wan it's ok..."
ham,Yup. Wun believe wat? U really neva c e msg i sent shuhui?
ham,Hi. Hope you had a good day. Have a better night.
ham,The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do
ham,:-( sad puppy noise
ham,Keep my payasam there if rinu brings
ham,Yup but it's not giving me problems now so mayb i'll jus leave it...
ham,Will ?_ b going to esplanade fr home?
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt"
ham,Hi its in durban are you still on this number
ham,Yes princess! I want to make you happy...
ham,Ugh fuck it I'm resubbing to eve
ham,Wait 2 min..stand at bus stop
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,Wat would u like 4 ur birthday?
ham,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,... Are you in the pub?
ham,Where you. What happen
ham,Stupid.its not possible
ham,Where are you lover ? I need you ...
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,I take it the post has come then! You must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
ham,How do you guys go to see movies on your side.
ham,But i'll b going 2 sch on mon. My sis need 2 take smth.
ham,"Dad wanted to talk about the apartment so I got a late start, omw now"
ham,"Sorry, I'll call later"
ham,No. But we'll do medical missions to nigeria
ham,"Jay told me already, will do"
ham,I place all ur points on e cultures module already.
ham,Re your call; You didn't see my facebook huh?
ham,"No, but you told me you were going, before you got drunk!"
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.
ham,Anything lor... U decide...
ham,"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management"
ham,"Kind of. Just missed train cos of asthma attack, nxt one in half hr so driving in. not sure where to park."
ham,You getting back any time soon?
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.
ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
ham,"I'm in a meeting, call me later at"
ham,They released vday shirts and when u put it on it makes your bottom half naked instead of those white underwear.
ham,Draw va?i dont think so:)
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.
ham,Lol alright i was thinkin that too haha
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
ham,Don no da:)whats you plan?
ham,I uploaded mine to Facebook
ham,Now thats going to ruin your thesis!
ham,You know my old Dom I told you about yesterday ? His name is Roger? He got in touch with me last night and wants me to meet him today at 2 pm
ham,No need to buy lunch for me.. I eat maggi mee..
ham,A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:)
ham,"Tick, tick, tick .... Where are you ? I could die of loneliness you know ! *pouts* *stomps feet* I need you ..."
ham,Ofcourse I also upload some songs
ham,If we win its really no 1 side for long time.
ham,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
ham,Lol enjoy role playing much?
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,Is xy going 4 e lunch?
ham,Unless it's a situation where YOU GO GURL would be more appropriate
ham,"Cool, text me when you head out"
ham,I'm good. Have you registered to vote?
ham,That one week leave i put know that time. Why.
ham,I'll be at mu in like  &lt;#&gt;  seconds
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
ham,Okie...
ham,Pls dont restrict her from eating anythin she likes for the next two days.
ham,Shb b ok lor... Thanx...
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,"That means you got an A in epi, she.s fine. She.s here now."
ham,Anything lor but toa payoh got place 2 walk meh...
ham,Wat's da model num of ur phone?
ham,DO NOT B LATE LOVE MUM
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
ham,Went fast asleep dear.take care.
ham,Yar else i'll thk of all sorts of funny things.
ham,"I call you later, don't have network. If urgnt, sms me."
ham,No da if you run that it activate the full version da.
ham,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?
ham,Double eviction this week - Spiral and Michael and good riddance to them!
ham,"\CHEERS FOR CALLIN BABE.SOZI CULDNT TALKBUT I WANNATELL U DETAILS LATER WENWECAN CHAT PROPERLY X\"""""
ham,When you came to hostel.
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
ham,I send the print  outs da.
ham,S...i will take mokka players only:)
ham,In which place i can get rooms cheap:-)
ham,Yes..gauti and sehwag out of odi series.
ham,Oh ok i didnt know what you meant. Yep i am baby jontin
ham,Except theres a chick with huge boobs.
ham,Audrie lousy autocorrect
ham,Mode men or have you left.
ham,"Alright, we're all set here, text the man"
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,Ok no prob...
ham,Sir send to group mail check it.
ham,?? still got lessons?  ?? in sch?
ham,I absolutely LOVE South Park! I only recently started watching the office.
ham,"Same, I'm at my great aunts anniversary party in tarpon springs"
ham,"Ok da, i already planned. I wil pick you."
ham,Good morning princess! Happy New Year!
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
ham,I'll talk to the others and probably just come early tomorrow then
ham,Thinkin about someone is all good. No drugs for that
ham,"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you."
ham,What happen dear tell me
ham,Thats cool. How was your day?
ham,Glad to see your reply.
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu
ham,Yeah confirmed for you staying at  that weekend
